CountryCode,WHOSIS_000001,NCD_BMI_30A,MH_12,UHC_AVAILABILITY_SCORE,VIOLENCE_HOMICIDERATE,WHS3_49,NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,had_polio,EG_ELC_ACCS_ZS,EN_ATM_PM25_MC_ZS,NY_GDP_PCAP_KD,SH_DYN_MORT,SH_H2O_BASW_ZS,SP_RUR_TOTL_ZS,poor,rich
SYC,73.19635,13.5,7.65,45.83333,13.41943,0.0,23.9,0,100.0,100.0,15157.5302874866,14.8,96.2508915,44.6,0.0,0.0
SLE,56.93931,8.3,10.5273,72.22222,8.21511,0.0,47.8,0,19.5345363616943,100.0,576.740231738962,140.2,57.84746516,59.171,1.0,0.0
SGP,82.80753,6.0,7.56,70.83333,0.41357,0.0,11.9,0,100.0,100.0,55646.6187469505,2.7,100.0,0.0,0.0,1.0
SVK,77.01103,20.1,9.8,53.47222,1.28401,0.0,22.9,0,100.0,100.0,16390.8821748507,6.2,99.78718913,46.111,0.0,0.0
SVN,80.47,19.8,14.7524,56.25,0.98873,0.0,20.6,0,100.0,99.7937147060447,20890.1664304173,2.6,99.5,46.219,0.0,0.0
SLB,64.74374,21.9,17.9402,72.22222,4.28508,,38.0,0,55.0999984741211,99.9999999997437,2134.80245126853,22.7,69.32991889,77.64,1.0,0.0
SOM,54.56641,7.9,15.026,68.75,5.63733,0.0,43.5,0,51.1348609924316,100.0,387.607994416701,134.3,48.71115368,56.755,1.0,0.0
ZAF,62.57465,27.8,25.5519,80.55556,38.04798,0.0,28.9,0,85.3000030517578,100.0,6204.92990145846,36.3,91.87634387,35.172,0.0,0.0
KOR,82.20299,4.5,21.2004,62.5,1.0255,0.0,13.1,0,100.0,100.0,28732.2310762599,3.5,99.47274641,18.366,0.0,0.0
ESP,82.33084,23.4,5.64,79.16667,0.63806,0.0,12.4,0,100.0,55.1527248746452,25754.36102944,3.3,99.92672046,20.398,0.0,0.0
LKA,76.26894,4.9,14.6994,77.08333,3.01537,0.0,33.8,0,94.3518676757813,100.0,4060.13178524716,8.7,90.11102857,81.744,1.0,0.0
SDF,,8.6,,,,,,0,,,,,,,,
SUR,72.60451,25.9,25.9135,83.33333,7.16625,,20.2,0,94.8952331542969,100.0,8907.75122246823,20.3,95.74769217,33.944,0.0,0.0
SWZ,54.04612,16.1,49.1945,47.91667,19.42453,0.0,29.8,0,64.0124130249023,100.0,3583.31129031343,57.2,66.70395522,76.7,1.0,0.0
SWE,81.74503,20.2,13.0223,70.83333,1.2392,0.0,12.2,0,100.0,3.55514624121341,51545.4836095322,2.9,99.78123103,13.447,0.0,1.0
CHE,82.61449,19.1,10.5012,70.83333,0.60304,0.0,10.1,0,100.0,72.3111073443463,83806.4476003837,4.3,100.0,26.282,0.0,1.0
SYR,64.40233,27.1,1.95,53.47222,2.61522,0.0,31.9,0,89.8164291381836,100.0,857.497867522093,41.6,93.50961148,47.832,1.0,0.0
TJK,68.65755,13.7,5.19,83.33333,2.04962,0.0,32.0,0,98.0,100.0,970.365223790049,37.5,76.23949551,73.258,1.0,0.0
